Date,Zipcode,Viral Load,Positivity Rate,Unvaccinated Rate,Population,Educational attainment ,Poverty,Poverty in Texas,Income,Health(lack of health insurance),Health(lack of Health insurance in TX)
07/06/2020-07/13/2023,77002,136,16,13,,,,,,,
07/06/2020-07/13/2024,77003,112,6,18,,,,,,,
07/06/2020-07/13/2025,77004,75,3,40,,,,,,,
07/06/2020-07/13/2026,77005,45,29,13,,,,,,,
07/06/2020-07/13/2027,77006,50,24,15,,,,,,,
07/06/2020-07/13/2028,77007,102,6,9,,,,,,,
07/06/2020-07/13/2029,77008,145,32,20,,,,,,,
07/06/2020-07/13/2030,77009,146,9,29,,,,,,,
07/06/2020-07/13/2031,77010,144,10,0,,,,,,,
07/06/2020-07/13/2032,77011,143,15,32,,,,,,,
07/06/2020-07/13/2033,77012,95,27,35,,,,,,,
07/06/2020-07/13/2034,77013,316,21,52,,,,,,,
07/06/2020-07/13/2035,77014,95,14,49,,,,,,,
07/06/2020-07/13/2036,77015,316,18,38,,,,,,,
07/06/2020-07/13/2037,77016,87,10,42,,,,,,,
07/06/2020-07/13/2038,77017,83,20,38,,,,,,,
07/06/2020-07/13/2039,77018,145,8,27,,,,,,,
07/06/2020-07/13/2040,77019,73,0,0,,,,,,,
07/06/2020-07/13/2041,77020,146,16,43,,,,,,,
07/06/2020-07/13/2042,77021,82,10,40,,,,,,,
07/06/2020-07/13/2043,77022,146,3,33,,,,,,,
07/06/2020-07/13/2044,77023,89,11,34,,,,,,,
07/06/2020-07/13/2045,77024,87,14,12,,,,,,,
07/06/2020-07/13/2046,77025,109,15,21,,,,,,,
07/06/2020-07/13/2047,77026,147,7,39,,,,,,,
07/06/2020-07/13/2048,77027,55,23,0,,,,,,,
07/06/2020-07/13/2049,77028,171,15,46,,,,,,,
07/06/2020-07/13/2050,77029,150,9,27,,,,,,,
07/06/2020-07/13/2051,77030,48,2,0,,,,,,,
07/06/2020-07/13/2052,77031,107,1,41,,,,,,,
07/06/2020-07/13/2053,77032,558,0,11,,,,,,,
07/06/2020-07/13/2054,77033,95,9,40,,,,,,,
07/06/2020-07/13/2055,77034,45,38,42,,,,,,,
07/06/2020-07/13/2056,77035,105,11,36,,,,,,,
07/06/2020-07/13/2057,77036,91,11,37,,,,,,,
07/06/2020-07/13/2058,77037,144,34,34,,,,,,,
07/06/2020-07/13/2059,77038,204,19,44,,,,,,,
07/06/2020-07/13/2060,77039,488,15,42,,,,,,,
07/06/2020-07/13/2061,77040,95,22,38,,,,,,,
07/06/2020-07/13/2062,77041,135,14,21,,,,,,,
07/06/2020-07/13/2063,77042,194,24,37,,,,,,,
07/06/2020-07/13/2064,77043,131,6,29,,,,,,,
