Date,Zipcode,Viral Load,Positivity Rate,Unvaccinated Rate,Population,Educational attainment ,Educational attainment in TX,Poverty,Poverty in Texas,Income (Median),Income(Median in TX),Health(lack of health insurance),Health(lack of Health insurance in TX)
07/06/2020-07/13/2023,77002,1.36,16,13,"19,844",33.30%,33.90%,17.90%,14%,"$78,292.00","72,284",12.00%,16.60%
07/06/2020-07/13/2024,77003,1.12,6,18,"11,874",48.30%,33.90%,21.30%,14%,"$87,618","72,284",14.80%,16.60%
07/06/2020-07/13/2025,77004,0.75,3,40,"37,005",58.60%,33.90%,27.30%,14%,"$68,141","72,284",13.50%,16.60%
07/06/2020-07/13/2026,77005,0.5,29,13,"28,241",86.20%,33.90%,4.30%,14%,"$213,059","72,284",2.70%,16.60%
07/06/2020-07/13/2027,77006,,24,15,"24,129",78.50%,33.90%,8.80%,14%,"$104,375","72,284",5.90%,16.60%
07/06/2020-07/13/2028,77007,1.02,6,9,"42,908",80.30%,33.90%,5.80%,14%,"$140,536","72,284",5.50%,16.60%
07/06/2020-07/13/2029,77008,1.45,32,20,"36,631",72.40%,33.90%,6.40%,14%,"$140,609","72,284",7.10%,16.60%
07/06/2020-07/13/2030,77009,1.46,9,29,"36,425",37.50%,33.90%,11.60%,14%,"$77,817","72,284",19.10%,16.60%
07/06/2020-07/13/2031,77010,1.44,10,0,883,63.30%,33.90%,0.00%,14%,"$221,776","72,284",3.80%,16.60%
07/06/2020-07/13/2032,77011,1.43,15,32,"16,841",9.10%,33.90%,22.60%,14%,"$44,412","72,284",34.90%,16.60%
07/06/2020-07/13/2033,77012,0.95,27,35,"18,397",10.00%,33.90%,22.30%,14%,"$45,784","72,284",40.60%,16.60%
07/06/2020-07/13/2034,77013,3.16,21,52,"16,815",10.30%,33.90%,27.10%,14%,"$43,492","72,284",31.90%,16.60%
07/06/2020-07/13/2035,77014,0.95,14,49,"35,161",19.40%,33.90%,24.90%,14%,"$54,303","72,284",27.20%,16.60%
07/06/2020-07/13/2036,77015,3.16,18,38,"57,106",10.80%,33.90%,18.40%,14%,"$55,171","72,284",27.70%,16.60%
07/06/2020-07/13/2037,77016,0.87,10,42,"29,966",10.80%,33.90%,22.30%,14%,"$42,186","72,284",25.50%,16.60%
07/06/2020-07/13/2038,77017,0.83,20,38,"31,659",10.90%,33.90%,24.50%,14%,"$53,236","72,284",37.60%,16.60%
07/06/2020-07/13/2039,77018,1.45,8,27,"27,870",57.30%,33.90%,8.20%,14%,"$111,524","72,284",12.50%,16.60%
07/06/2020-07/13/2040,77019,0.73,0,0,"24,136",75.20%,33.90%,10.30%,14%,"$118,172","72,284",6.90%,16.60%
