,Date,Zipcode,Viral Load,Positivity Rate,Unvaccinated Rate,Population,Educational attainment ,Poverty,Poverty in Texas,Income,Health(lack of health insurance),Health(lack of Health insurance in TX),DP05_0001E,S1701_C01_001E,S1501_C01_004E
0,07/06/2020-07/13/2023,77002,136,16,13,,,,,,,,3879.3000160823417,3397.892569958186,202.18124798970732
1,07/06/2020-07/13/2024,77003,112,6,18,,,,,,,,2727.9137931034484,2711.0331657088127,61.558069923371654
2,07/06/2020-07/13/2025,77004,75,3,40,,,,,,,,2704.0556868677318,2400.1360026472535,281.6158173395102
3,07/06/2020-07/13/2026,77005,45,29,13,,,,,,,,4271.452772433095,4237.868637397235,60.36426447437466
4,07/06/2020-07/13/2027,77006,50,24,15,,,,,,,,2564.7269080842884,2517.532173323541,112.28450370035591
5,07/06/2020-07/13/2028,77007,102,6,9,,,,,,,,3815.490315879513,3809.261257408198,69.04640435021689
6,07/06/2020-07/13/2029,77008,145,32,20,,,,,,,,3743.0622557230604,3724.2296402648167,57.397503389965685
7,07/06/2020-07/13/2030,77009,146,9,29,,,,,,,,4139.59155664562,4127.606846527162,75.19151489850232
8,07/06/2020-07/13/2031,77010,144,10,0,,,,,,,,5256.0,4425.0,293.0
9,07/06/2020-07/13/2032,77011,143,15,32,,,,,,,,3868.211488589211,3858.5521265560164,207.0142634854772
10,07/06/2020-07/13/2033,77012,95,27,35,,,,,,,,3607.832952272078,3604.100314375536,146.89068305230066
11,07/06/2020-07/13/2034,77013,316,21,52,,,,,,,,4119.949602932193,3984.7327428222357,202.2700061087355
12,07/06/2020-07/13/2035,77014,95,14,49,,,,,,,,5536.994089038534,5499.423643845866,234.96969696969697
13,07/06/2020-07/13/2036,77015,316,18,38,,,,,,,,4342.26711727981,4337.110881791445,238.66518755482178
14,07/06/2020-07/13/2037,77016,87,10,42,,,,,,,,3762.6833482034226,3727.8325898288585,177.0444480493146
15,07/06/2020-07/13/2038,77017,83,20,38,,,,,,,,3758.9902686875644,3751.8430933517047,145.6705132621426
16,07/06/2020-07/13/2039,77018,145,8,27,,,,,,,,3682.802079058952,3669.861510053344,67.90945151142115
17,07/06/2020-07/13/2040,77019,73,0,0,,,,,,,,3292.545281272123,3278.7870718292215,61.95806785383653
18,07/06/2020-07/13/2041,77020,146,16,43,,,,,,,,3517.706791486355,3504.4500574052813,116.75192086902764
19,07/06/2020-07/13/2042,77021,82,10,40,,,,,,,,2799.355670483931,2763.361507203547,130.45910602142592
20,07/06/2020-07/13/2043,77022,146,3,33,,,,,,,,3286.6466476831474,3265.5086720165673,151.3768228492536
21,07/06/2020-07/13/2044,77023,89,11,34,,,,,,,,4024.2827252291195,4007.324744942072,185.32535016427457
22,07/06/2020-07/13/2045,77024,87,14,12,,,,,,,,4160.513028223518,4146.839688354574,65.14514214952789
23,07/06/2020-07/13/2046,77025,109,15,21,,,,,,,,3360.227596366315,3337.3986005401425,76.0334520009821
24,07/06/2020-07/13/2047,77026,147,7,39,,,,,,,,2576.3021518762225,2553.9281522319047,96.07878356749067
25,07/06/2020-07/13/2048,77027,55,23,0,,,,,,,,2576.7581940239565,2572.657233118336,51.572660260629206
26,07/06/2020-07/13/2049,77028,171,15,46,,,,,,,,4598.18087343808,4524.1929976493875,153.55969318322406
27,07/06/2020-07/13/2050,77029,150,9,27,,,,,,,,3034.2014144688374,3018.4168262855455,186.64476204508617
28,07/06/2020-07/13/2051,77030,48,2,0,,,,,,,,2597.8676792223573,2542.5349939246657,85.51397326852978
29,07/06/2020-07/13/2052,77031,107,1,41,,,,,,,,3290.167480170836,3281.9730018303844,132.80857230018304
30,07/06/2020-07/13/2053,77032,558,0,11,,,,,,,,3896.7231003618353,3863.9388687868973,140.01485431346413
31,07/06/2020-07/13/2054,77033,95,9,40,,,,,,,,4235.27682983683,4211.48317016317,105.22088578088578
32,07/06/2020-07/13/2055,77034,45,38,42,,,,,,,,4158.291531861021,4133.146293430864,191.58510339006892
33,07/06/2020-07/13/2056,77035,105,11,36,,,,,,,,3849.3634771732336,3837.133771106942,149.7282676672921
34,07/06/2020-07/13/2057,77036,91,11,37,,,,,,,,3449.806047628318,3427.8881967425873,71.11611835701774
35,07/06/2020-07/13/2058,77037,144,34,34,,,,,,,,4048.4323090430194,4048.172783143108,142.86830553116766
36,07/06/2020-07/13/2059,77038,204,19,44,,,,,,,,6268.485657244931,6266.704003362404,180.88609856047074
37,07/06/2020-07/13/2060,77039,488,15,42,,,,,,,,4979.997250632355,4974.402067524469,194.91081051358185
38,07/06/2020-07/13/2061,77040,95,22,38,,,,,,,,4496.925154694646,4466.448372343289,203.24718859295132
39,07/06/2020-07/13/2062,77041,135,14,21,,,,,,,,5541.350049842804,5535.713365539453,229.95705850778316
40,07/06/2020-07/13/2063,77042,194,24,37,,,,,,,,3178.2989079142512,3167.518448609051,130.92723922520338
41,07/06/2020-07/13/2064,77043,131,6,29,,,,,,,,5141.268288791385,5116.3910650179505,131.4678899082569
42,07/06/2020-07/13/2065,77045,49,11,32,,,,,,,,5524.714346748697,5479.9195078185085,242.4764590275998
43,07/06/2020-07/13/2066,77046,45,4,0,,,,,,,,2149.5186028853454,2149.5186028853454,65.83902809415338
44,07/06/2020-07/13/2067,77047,48,15,39,,,,,,,,7796.542906223158,7791.934801280549,308.58358710080427
45,07/06/2020-07/13/2068,77048,115,13,40,,,,,,,,4111.5703309087185,4078.9312570433362,153.46378444831473
46,07/06/2020-07/13/2069,77049,316,6,43,,,,,,,,5814.870909484939,5775.849960268729,348.41746731199885
47,07/06/2020-07/13/2070,77050,750,0,53,,,,,,,,4907.812232415902,4907.812232415902,98.37064220183487
48,07/06/2020-07/13/2071,77051,48,6,49,,,,,,,,4477.652906976744,4475.177209302326,246.87255813953485
49,07/06/2020-07/13/2072,77053,81,10,35,,,,,,,,3582.646439317954,3579.8049147442325,139.2567703109328
50,07/06/2020-07/13/2073,77054,48,11,28,,,,,,,,3636.86796127966,3596.2699209066227,230.43949946877584
51,07/06/2020-07/13/2074,77055,145,16,34,,,,,,,,3409.339404054784,3377.7662854057244,82.0862991507535
52,07/06/2020-07/13/2075,77056,60,5,0,,,,,,,,2519.635187728938,2493.4534684065934,76.18126144688645
53,07/06/2020-07/13/2076,77057,120,14,32,,,,,,,,2854.686408856888,2838.9861417566676,78.97727712615647
54,07/06/2020-07/13/2077,77059,69,1,14,,,,,,,,6560.26535735381,6560.26535735381,231.9836089781453
55,07/06/2020-07/13/2078,77060,111,22,52,,,,,,,,3756.601806640625,3753.0542602539062,103.4696044921875
56,07/06/2020-07/13/2079,77061,80,3,46,,,,,,,,3211.8102308552834,3193.355639174209,139.3029594223533
57,07/06/2020-07/13/2080,77062,69,44,28,,,,,,,,4008.834739113378,4008.834739113378,163.1341702628482
58,07/06/2020-07/13/2081,77063,157,10,38,,,,,,,,3361.3463055357565,3344.8112615823234,161.09874079353767
59,07/06/2020-07/13/2082,77064,595,18,36,,,,,,,,5124.217541194344,5085.0695337150855,209.1594016594601
60,07/06/2020-07/13/2083,77067,163,2,50,,,,,,,,4567.525975773889,4534.246478241364,173.99021982951996
61,07/06/2020-07/13/2084,77070,598,23,43,,,,,,,,5729.501863617111,5654.623761118171,156.49644218551458
62,07/06/2020-07/13/2085,77071,112,10,35,,,,,,,,4810.390269054093,4798.851598387551,205.86903534264553
63,07/06/2020-07/13/2086,77072,178,16,39,,,,,,,,4512.773643092105,4495.068410773026,164.67398231907896
64,07/06/2020-07/13/2087,77074,98,11,38,,,,,,,,3863.0585228724767,3711.029580884233,134.3728596984411
65,07/06/2020-07/13/2088,77075,69,11,41,,,,,,,,4851.321209527884,4847.832049636286,194.6485522749964
66,07/06/2020-07/13/2089,77076,146,11,44,,,,,,,,4993.158480429777,4974.643323100538,208.78875671527243
67,07/06/2020-07/13/2090,77077,465,12,30,,,,,,,,3582.9637802754464,3569.931708089283,98.58914041475384
68,07/06/2020-07/13/2091,77078,67,5,39,,,,,,,,5592.132658797078,5569.204421959903,106.67434888514146
69,07/06/2020-07/13/2092,77079,203,43,23,,,,,,,,4266.5084486347505,4263.043222725604,98.68452308069058
70,07/06/2020-07/13/2093,77080,106,17,41,,,,,,,,3755.2616655617317,3733.718598602683,73.88693967055943
71,07/06/2020-07/13/2094,77081,112,8,47,,,,,,,,3498.414989714695,3487.130578660227,95.87487702352206
72,07/06/2020-07/13/2095,77082,192,18,31,,,,,,,,4396.807063361322,4360.319739644017,224.95202699987942
73,07/06/2020-07/13/2096,77083,208,25,31,,,,,,,,2627.018589799668,2616.9981191496804,101.06661709386754
74,07/06/2020-07/13/2097,77084,206,15,34,,,,,,,,5249.753536693192,5240.815453384419,209.80845367914335
75,07/06/2020-07/13/2098,77085,54,14,30,,,,,,,,5951.566824799608,5947.964338295436,273.21887780140685
76,07/06/2020-07/13/2099,77087,83,16,37,,,,,,,,4454.554892503883,4410.503065478623,144.30744706940246
77,07/06/2020-07/13/2100,77088,96,13,42,,,,,,,,4995.960217954824,4956.841559540815,155.479818018304
78,07/06/2020-07/13/2101,77089,87,19,37,,,,,,,,5612.364094881399,5596.440898876404,311.8460923845193
