Date,Zipcode,Viral Load,Positivity Rate,Unvaccinated Rate,DP05_0001E,S1701_C02_001E,S1501_C01_005E,S1501_C01_012E,Below Poverty Line %,Bachelor Degree Total %
07/06/2020-07/13/2023,77002,136,16,13,3879,521,327,1029,0.13431296725960298,0.34957463263727767
07/06/2020-07/13/2024,77003,112,6,18,2727,626,69,567,0.22955628896222954,0.23322332233223322
07/06/2020-07/13/2025,77004,75,3,40,2704,635,121,568,0.23483727810650887,0.2548076923076923
07/06/2020-07/13/2026,77005,45,29,13,4271,159,76,993,0.03722781549988293,0.2502926715055022
07/06/2020-07/13/2027,77006,50,24,15,2564,242,174,755,0.09438377535101404,0.3623244929797192
07/06/2020-07/13/2028,77007,102,6,9,3815,212,225,1337,0.055570117955439056,0.4094364351245085
07/06/2020-07/13/2029,77008,145,32,20,3743,233,104,1218,0.06224953246059311,0.35319262623563985
07/06/2020-07/13/2030,77009,146,9,29,4139,533,57,630,0.12877506644116937,0.16598212128533463
07/06/2020-07/13/2031,77010,144,10,0,5256,686,379,1292,0.13051750380517504,0.3179223744292237
07/06/2020-07/13/2032,77011,143,15,32,3868,842,15,223,0.21768355739400208,0.06153050672182006
07/06/2020-07/13/2033,77012,95,27,35,3607,831,10,160,0.2303853617965068,0.04713057942888827
07/06/2020-07/13/2034,77013,316,21,52,4119,1138,6,198,0.27628065064336005,0.049526584122359794
07/06/2020-07/13/2035,77014,95,14,49,5536,1292,31,490,0.2333815028901734,0.09411127167630058
07/06/2020-07/13/2036,77015,316,18,38,4342,783,19,212,0.1803316444035007,0.05320128972823584
07/06/2020-07/13/2037,77016,87,10,42,3762,960,11,176,0.2551834130781499,0.049707602339181284
07/06/2020-07/13/2038,77017,83,20,38,3758,921,15,186,0.2450771687067589,0.05348589675359234
07/06/2020-07/13/2039,77018,145,8,27,3682,341,37,785,0.09261271048343292,0.22324823465507876
07/06/2020-07/13/2040,77019,73,0,0,3292,348,141,1036,0.10571081409477522,0.35753341433778857
07/06/2020-07/13/2041,77020,146,16,43,3517,964,12,278,0.274097241967586,0.08245663918112027
07/06/2020-07/13/2042,77021,82,10,40,2799,812,50,311,0.2901036084315827,0.12897463379778493
07/06/2020-07/13/2043,77022,146,3,33,3286,900,18,193,0.2738892270237371,0.06421180766889836
07/06/2020-07/13/2044,77023,89,11,34,4024,806,19,378,0.20029821073558648,0.09865805168986083
07/06/2020-07/13/2045,77024,87,14,12,4160,263,68,1268,0.06322115384615384,0.3211538461538462
